ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2023-01-02,14,0.9,1,1,1
2023-01-03,147,0.9,2,1,1
2023-01-04,215,0.9,3,1,1
2023-01-05,151,0.9,4,1,1
2023-01-06,91,0.9,5,0,1
2023-01-09,171,0.9,1,0,2
2023-01-10,132,0.9,2,0,2
2023-01-11,112,0.9,3,0,2
2023-01-12,107,0.9,4,0,2
2023-01-13,76,0.9,5,0,2
2023-01-16,129,0.9,1,0,3
2023-01-17,116,0.9,2,0,3
2023-01-18,98,0.9,3,0,3
2023-01-19,85,0.9,4,0,3
2023-01-20,68,0.9,5,0,3
2023-01-23,100,0.9,1,0,4
2023-01-24,118,0.9,2,0,4
2023-01-25,123,0.9,3,0,4
2023-01-26,106,0.9,4,0,4
2023-01-27,94,0.9000000000000001,5,0,4
2023-01-30,155,0.9,1,0,5
2023-01-31,102,0.9,2,0,5
2023-02-01,87,0.9,3,1,1
2023-02-02,118,0.9,4,1,1
2023-02-03,83,0.9,5,1,1
2023-02-06,113,0.9,1,0,1
2023-02-07,115,0.9,2,0,1
2023-02-08,81,0.9,3,0,2
2023-02-09,110,0.9,4,0,2
2023-02-10,81,0.9,5,0,2
2023-02-13,115,0.9,1,0,2
2023-02-14,74,0.9000000000000001,2,0,2
2023-02-15,82,0.8999999999999999,3,0,3
2023-02-16,79,0.9000000000000001,4,0,3
2023-02-17,84,0.9000000000000001,5,0,3
2023-02-20,140,0.9,1,0,3
2023-02-21,96,0.9,2,0,3
2023-02-22,82,0.8999999999999999,3,0,4
2023-02-23,94,0.9000000000000001,4,0,4
2023-02-24,60,0.9,5,0,4
2023-02-27,127,0.9,1,0,4
2023-02-28,100,0.9,2,0,4
2023-03-01,126,0.9,3,1,1
2023-03-02,111,0.9,4,1,1
2023-03-03,66,0.9,5,1,1
2023-03-06,162,0.9,1,0,1
2023-03-07,144,0.8999999999999999,2,0,1
2023-03-08,111,0.9,3,0,2
2023-03-09,113,0.9,4,0,2
2023-03-10,112,0.9,5,0,2
2023-03-13,190,0.9,1,0,2
2023-03-14,138,0.9,2,0,2
2023-03-15,133,0.9,3,0,3
2023-03-16,133,0.9,4,0,3
2023-03-17,95,0.9,5,0,3
2023-03-20,153,0.9000000000000001,1,0,3
2023-03-21,159,0.8999999999999999,2,0,3
2023-03-22,158,0.9000000000000001,3,0,4
2023-03-23,124,0.9,4,0,4
2023-03-24,104,0.9000000000000001,5,0,4
