ds,y,confianza_promedio,dia_semana,es_inicio_mes,semana_mes
2023-01-03,384,0.9,2,1,1
2023-01-04,397,0.9,3,1,1
2023-01-05,327,0.9,4,1,1
2023-01-06,242,0.9,5,0,1
2023-01-09,264,0.9,1,0,2
2023-01-10,330,0.9,2,0,2
2023-01-11,333,0.8999999999999999,3,0,2
2023-01-12,364,0.9,4,0,2
2023-01-13,246,0.9,5,0,2
2023-01-16,303,0.8999999999999999,1,0,3
2023-01-17,321,0.9000000000000001,2,0,3
2023-01-18,355,0.9,3,0,3
2023-01-19,340,0.9,4,0,3
2023-01-20,198,0.9000000000000001,5,0,3
2023-01-23,368,0.9,1,0,4
2023-01-24,361,0.9000000000000001,2,0,4
2023-01-25,384,0.9,3,0,4
2023-01-26,320,0.9,4,0,4
2023-01-27,236,0.9,5,0,4
2023-01-30,312,0.9,1,0,5
2023-01-31,257,0.9,2,0,5
2023-02-01,172,0.9,3,1,1
2023-02-02,197,0.9,4,1,1
2023-02-03,150,0.9,5,1,1
2023-02-06,107,0.9,1,0,1
2023-02-07,154,0.8999999999999999,2,0,1
2023-02-08,166,0.9,3,0,2
2023-02-09,145,0.9,4,0,2
2023-02-10,115,0.9,5,0,2
2023-02-13,218,0.9000000000000001,1,0,2
2023-02-14,177,0.9,2,0,2
2023-02-15,78,0.9,3,0,3
2023-02-16,100,0.9,4,0,3
2023-02-17,114,0.9,5,0,3
2023-02-20,133,0.9,1,0,3
2023-02-21,87,0.9,2,0,3
2023-02-22,96,0.9,3,0,4
2023-02-23,132,0.9,4,0,4
2023-02-24,103,0.9,5,0,4
2023-02-27,109,0.9000000000000001,1,0,4
2023-02-28,117,0.9,2,0,4
2023-03-01,214,0.9,3,1,1
2023-03-02,164,0.8999999999999999,4,1,1
2023-03-03,100,0.9,5,1,1
2023-03-06,246,0.9,1,0,1
2023-03-07,203,0.9000000000000001,2,0,1
2023-03-08,181,0.9,3,0,2
2023-03-09,163,0.9000000000000001,4,0,2
2023-03-10,218,0.9000000000000001,5,0,2
2023-03-13,184,0.9,1,0,2
2023-03-14,260,0.9,2,0,2
2023-03-15,190,0.9,3,0,3
2023-03-16,257,0.9,4,0,3
2023-03-17,155,0.9,5,0,3
2023-03-20,249,0.9,1,0,3
2023-03-21,189,0.9,2,0,3
2023-03-22,203,0.9000000000000001,3,0,4
2023-03-23,165,0.9,4,0,4
2023-03-24,195,0.9,5,0,4
2023-03-27,220,0.9,1,0,4
2023-03-28,178,0.9000000000000001,2,0,4
2023-03-29,221,0.9,3,0,5
2023-03-30,213,0.9000000000000001,4,0,5
2023-03-31,194,0.9,5,0,5
2023-04-03,278,0.9,1,1,1
2023-04-04,304,0.9,2,1,1
2023-04-05,146,0.9,3,1,1
2023-04-06,137,0.9,4,0,1
